PlantCode
AMEALN
BERREP
BETGLA
LONINV
PHYMAL
POPBAL
POPTRE
RIBE SP
RIBHUD
RIBLAC
ROSA SP
ROSACI
ROSGYM
ROSWOO
RUBIDA
SALI SP
SALSCO
SHECAN
SYMALB
VACMEM
VACSCO
VACCAE
ALNINC
ALNVIR
ARTDRA
ARTFRI
ARTLUD
ARTTRI
ERINAU
LEDGLA
MENFER
PRUVIR
CHRVIS
