"cover_class","PlotVisit","PlotID","Date","Latitude","Longitude","GDMforb","GDMgrass","GDMshrub","NDVI","cc","cti","elev","esp6_14","esp6_15","gsri","hillshade","ndvi_dur_14","ndvi_dur_15","ndvi_ti_14","ndvi_ti_15","precip_14","precip_15","slope","Year","ndvi_dur","ndvi_ti","sum_precip","cc_std","cti_std","elev_std","gsri_std","hillshade_std","ndvi_ti_std","sum_precip_std","slope_std","class_name","Biomass","Gforb","Ggrass","Gshrub"
"2","10.2014-08-29",10,2014-08-29,46.57791,-113.82738,0,0.918,157.592,6958,26.1248942816486,5.46769921008383,1969.59756907393,2,2,639121.0474633,241.618457150955,170.049469436335,215.920030212937,25.8594157431722,26.8834503985009,182.711710026773,124.917852059642,11.7749685617113,2014,170.049469436335,25.8594157431722,182.711710026773,0.358047969392496,-0.457577516101756,1.41623186282751,1.43743022057584,1.04978371367759,-0.469263382655696,1.81625260710077,-0.399469801465224,"Dry Forest (Burn >15)",299.386212128402,46.2133333333333,1.26666666666667,251.906212128402
"2","1016.2015-08-26",1016,2015-08-26,46.45785,-113.76855,0.025,22.672,20.928,6376,24.8124197963126,4.33050815902121,1404.31117463787,2,2,547462.793459963,251.519292979489,131.358179271675,-139.54295501226,19.9415965008224,24.4646111256011,178.885463522653,133.275862866364,37.1179254517781,2015,NA,24.4646111256011,133.275862866364,0.291017420850563,-1.12078141924339,-0.285239668975304,-0.224044699553105,1.41065818500344,-0.582108047299522,-0.202826606480818,2.3898140128396,"Dry Forest (Burn >15)",69.8495464567314,7.42666666666667,33.3333333333333,29.0895464567314
"3","1017.2015-08-26",1017,2015-08-26,46.45856,-113.76639,4.121,20.329,31.594,6376,4.30011416305544,4.3957965705145,1402.33135263951,3,3,574585.871260639,253.156511410756,148.357056728673,-666.178875125595,17.6329112252202,17.1541728841352,179.124757558765,133.302650464673,33.5299935272889,2015,NA,17.1541728841352,133.302650464673,-0.75658473356773,-1.08270555741542,-0.291198791291706,0.267611114890929,1.47033297873405,-1.17354855542904,-0.201732536367034,1.99492084835145,"Grass/Shrub/Open Woodland",84.3253311611764,8.34666666666667,29.8133333333333,46.1653311611764
"2","1018.2015-08-26",1018,2015-08-26,46.457755,-113.7694,0,4.875,11.422,6376,29.1571857731145,4.31951675241743,1440.66778443587,2,2,581872.966888348,246.820916740414,187.563495690174,116.679110479016,21.5230364951332,27.4574644608308,178.569344907384,133.089858457534,23.7186405132152,2015,116.679110479016,27.4574644608308,133.089858457534,0.512912817648926,-1.12719155037645,-0.17580887924992,0.399703164403238,1.23940758851544,-0.339975545953002,-0.210423475090877,0.91506863231769,"Dry Forest (Burn >15)",50.0155094888196,1.56,6.98576533333333,41.4697441554862
"2","1019.2015-08-26",1019,2015-08-26,46.45834,-113.76865,2.82,0.648,63.664,5207,27.9194179868185,4.29827481293754,1435.29229444009,2,2,557274.665549006,251.725090897022,183.93048199271,-153.414570328723,19.7422063076056,25.01107452334,178.506641103936,132.975194172963,37.6376906717106,2015,NA,25.01107452334,132.975194172963,0.449697681194891,-1.13957973894001,-0.191988718862769,-0.0461864196554361,1.41815929056423,-0.537897210827414,-0.21510664098799,2.44702015186612,"Dry Forest (Burn >15)",100.949400018724,7.65333333333333,0.986666666666667,92.3094000187238
"3","1020.2015-08-26",1020,2015-08-26,46.45783,-113.76779,0,11.524,14.097,6376,24.7350779874618,5.21357591239085,1372.17496014623,3,3,564172.013137493,252.912127534245,75.1528628531749,-395.765020503536,18.3601565065115,21.4717577903714,179.201582137922,133.461867275195,30.0097560669128,2015,NA,21.4717577903714,133.461867275195,0.287067428732303,-0.605780900881933,-0.381967371314563,0.0788407277443585,1.46142545781724,-0.824240548646042,-0.195229737870762,1.60747823803058,"Grass/Shrub/Open Woodland",38.8240150993428,0,18.0533333333333,20.7706817660095
"2","1022.2015-07-28",1022,2015-07-28,46.41864,-113.69937,1.572,27.177,0,4517,41.1808344139243,6.26843756231758,1648.42249001024,2,2,516701.840811735,159.929115340823,209.578457849704,316.463817159163,21.9308070923722,28.0455451330917,190.611392044991,140.26305136812,22.9812387196885,2015,316.463817159163,28.0455451330917,140.26305136812,1.12698324177808,0.00940892395191636,0.449517894244273,-0.78164370577512,-1.92770208138336,-0.292397723648145,0.0825470216780139,0.833909085850973,"Dry Forest (Burn >15)",43.5866666666667,6.05333333333333,37.5333333333333,0
"2","1023.2015-07-28",1023,2015-07-28,46.41848,-113.70033,0.034,10.35,0,4962,44.8885759956023,6.12796872959832,1616.39255594169,2,2,475701.021659012,144.306847621349,209.56386640103,314.391062289958,22.8696360365472,28.2375524549826,190.610879193432,140.313455037637,25.812137799358,2015,314.391062289958,28.2375524549826,140.313455037637,1.31634460068326,-0.0725117683030155,0.353110088361141,-1.52485918012304,-2.49711639163066,-0.276863646993258,0.0846056290905462,1.14548208094799,"Dry Forest (Burn >15)",15.0666666666667,0.68,14.3866666666667,0
"1","1026.2015-07-29",1026,2015-07-29,46.45065,-113.6879,0,0,46.012,6095,45,5.43273049103348,2362.73716738802,1,1,469237.864822988,127.306969968242,157.27203657529,222.28346131845,44.3976799478272,47.1910712796305,201.095732583654,146.019136892327,29.6559797115785,2015,222.28346131845,47.1910712796305,146.019136892327,1.32203523483956,-0.477971091077908,2.59955387648242,-1.64201581925695,-3.11674305415839,1.2565435762438,0.31763943540389,1.56854108219284,"Mesic Forest (Burn >15)",76.389646699522,2.84,0,73.549646699522
"1","1028.2015-07-29",1028,2015-07-29,46.45114,-113.68591,0,0,68.365,6110,37.2490859813148,6.36403654190526,2414.26527195353,1,1,549254.268527979,177.498170496959,154.117097440021,218.361741444871,47.7065481851662,49.6290289431446,200.681344936208,145.660366329658,16.0004722404436,2015,218.361741444871,49.6290289431446,145.660366329658,0.92618143030573,0.0651617513591142,2.75464977808013,-0.191570909517395,-1.28732953092722,1.45378304010088,0.302986380441993,0.0655954657606887,"Mesic Forest (Burn >15)",111.372112091538,2.09333333333333,0,109.278778758205
