"Class","DEcure","DEemerg","DEflwr","DEfrt"
"forb",2.48030172730839,3.12148283146014,2.9760940858731,2.69442307996892
"graminoid",2.78214351349949,3.20656227933298,3.07700761974776,2.87442969314727
"shrub",2.12069602670272,2.49315076435804,2.29352299968403,2.16522264810472
