"","Class","SE.cls.de","EM.cls.de","FL.cls.de","FR.cls.de","MS.cls.de"
"1","forb",2.49717809758119,3.128811363875,3.03228396759553,2.74377298265049,3.12832811671923
"2","graminoid",2.75822287792393,3.13169026644405,3.0666766583298,2.83855050099064,2.95058104170896
"3","shrub",2.22999201668392,2.82068961820182,2.5157712038239,2.47963866069572,2.43177943894691
"4","sub-shrub",3.2173233873188,3.41114637842412,3.08068110527131,3.05978262251335,NA
"5","tree",NA,2.2728117253426,NA,NA,NA
