"","Class","StDev","DE"
"1","forb",0.491255349707716,2.89340081848786
"2","graminoid",0.2889932105928,2.94606323124811
"3","shrub",0.555997205735302,2.54043948103825
"4","sub-shrub",0.213536919469353,3.19810454538772
"5","tree",0.176993533050819,2.2728117253426
