"PlotID","Date","Collector","Latitude","Longitude","Site Description","Ecosystem Class","Additional Class","Aspect","Elevation _m","Comments","Densio10","Densio20","Densio30","Densio40","Percent_Canopy_Cover","Prism_Hits","Dominant_Tree","Second_Tree","Tree_Size_Class"
134.00,8/20/2015 0:00:00,"JM",46.44,-113.90,"0","FMC","0","303",1549.02,"Moved plot out of recently logged area.",0.00,0.00,0.00,0.00,"0",7.00,"PINPON","PSEMEN","3"
135.00,8/20/2015 0:00:00,"JM",46.44,-113.90,"0","FMC","0","289",1635.30,"0",20.00,4.00,9.00,11.00,"11",9.00,"PSEMEN","PINPON","3"
141.00,8/20/2014 0:00:00,"MB",46.72,-113.76,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"50",1277.00,"GAP completed at this plot. Plot on a steep rocky slope.",7.00,11.00,13.00,10.00,"34.1",5.00,"PSEMEN",,
144.00,8/20/2014 0:00:00,"MB",46.73,-113.76,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"122",1222.00,"Transect was on a very steep rocky slope. No 20m clip plot. Plants were wet when collected.",8.00,6.00,10.00,12.00,"30.0",6.00,"PSEMEN",,
145.00,8/20/2014 0:00:00,"MB",46.72,-113.76,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"36",1325.00,"Plants were wet when collected.",19.00,17.00,9.00,11.00,"46.6",8.00,"PSEMEN",,
146.00,7/22/2014 0:00:00,"JM",46.82,-113.92,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"72",1243.00,"0",23.00,13.00,22.00,20.00,"64.9",14.00,"PSEMEN",,
147.00,7/16/2014 0:00:00,"RD",46.82,-113.92,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"300",1253.00,"moved out of parking lot",18.00,13.00,10.00,20.00,"50.8",10.00,"PSEMEN",,
148.00,7/22/2014 0:00:00,"RAD",46.82,-113.93,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"211",1260.00,"folf course",10.00,19.00,18.00,22.00,"57.4",16.00,"PSEMEN",,
149.00,7/22/2014 0:00:00,"EF",46.82,-113.93,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"340",1234.00,"0",13.00,12.00,13.00,15.00,"44.1",10.00,"PSEMEN",,
150.00,7/22/2014 0:00:00,"JM",46.83,-113.92,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"90",1244.00,"0",18.00,20.00,23.00,24.00,"70.7",15.00,"PINPON",,
151.00,8/18/2015 0:00:00,"LS",46.60,-113.90,"0","OPP","0","340",1353.51,"0",16.00,7.00,1.00,15.00,"9.75",7.00,"PINPON","0","3"
153.00,8/18/2015 0:00:00,"LS",46.60,-113.90,"0","OPP","0","160",1332.95,"0",6.00,12.00,18.00,5.00,"10.25",11.00,"PINPON","0","3"
154.00,8/18/2015 0:00:00,"JM",46.60,-113.90,"0","OPP","0","277",1356.95,"0",5.00,0.00,0.00,3.00,"2",4.00,"PINPON","0","3"
161.00,8/4/2014 0:00:00,"JM",46.82,-113.94,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"317",1225.00,"0",19.00,3.00,18.00,23.00,"52.4",14.00,"PSEMEN",,
162.00,8/4/2014 0:00:00,"JS, EF",46.82,-113.94,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"228",1243.00,"0",19.00,23.00,24.00,19.00,"70.7",13.00,"PINPON",,
164.00,8/4/2014 0:00:00,"EF JS",46.83,-113.94,"Forest","Rocky Mountain Ponderosa Pine Woodland and Savanna",,"338",1267.00,"0",1.00,5.00,5.00,0.00,"9.2",3.00,"PINPON",,
165.00,8/4/2014 0:00:00,"JM",46.82,-113.94,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"306",1249.00,"0",10.00,19.00,12.00,5.00,"38.3",11.00,"PSEMEN",,
171.00,8/22/2014 0:00:00,"JM",46.76,-113.72,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"101",1186.00,"0",14.00,17.00,17.00,8.00,"46.6",8.00,"PSEMEN",,
172.00,8/12/2014 0:00:00,"JM",46.76,-113.73,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"80",1279.00,"0",5.00,10.00,22.00,8.00,"37.4",6.00,"PSEMEN",,
173.00,8/22/2014 0:00:00,"JM",46.76,-113.72,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"4",1199.00,"0",21.00,16.00,23.00,22.00,"68.2",4.00,"PSEMEN",,
174.00,8/12/2014 0:00:00,"EF",46.76,-113.73,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"160",1319.00,"0",20.00,5.00,24.00,6.00,"45.8",6.00,"PSEMEN",,
175.00,8/22/2014 0:00:00,"JM",46.75,-113.73,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"68",1286.00,"0",20.00,10.00,23.00,19.00,"59.9",9.00,"PSEMEN",,
176.00,8/18/2015 0:00:00,"MD",46.85,-113.89,"0","FMC","0","309",1109.39,"0",22.00,24.00,18.00,24.00,"22",12.00,"PSEMEN","PINPON","2"
179.00,8/18/2015 0:00:00,"MD",46.85,-113.89,"0","FMC","0","323",1101.53,"0",22.00,24.00,21.00,24.00,"22.75",21.00,"PSEMEN","PINPON","2"
191.00,8/4/2015 0:00:00,"JM, KB",46.50,-113.85,"0","MFDSF","MFMSF","FLAT",1830.33,"0",5.00,19.00,4.00,15.00,"10.75",18.00,"PINCON","PICENG","2"
192.00,8/4/2015 0:00:00,"MD",46.51,-113.86,"0","MFLP","0","FLAT",1881.89,"0",24.00,23.00,24.00,20.00,"22.75",13.00,"PINCON","ABILAS","2"
193.00,8/4/2015 0:00:00,"JM,KB",46.50,-113.85,"0","MFDSF","MFMSF","19",1842.12,"0",19.00,19.00,22.00,21.00,"20.25",5.00,"ABILAS","PICENG","2"
194.00,8/3/2015 0:00:00,"MD",46.51,-113.85,"0","MFLP","0","FLAT",1870.33,"0",22.00,24.00,19.00,14.00,"19.75",5.00,"PINCON","ABILAS","2"
195.00,8/4/2015 0:00:00,"JM,KB,MD",46.51,-113.85,"0","MFDSF","MFMSF","14",1812.42,"0",21.00,19.00,18.00,23.00,"20.25",8.00,"PICENG","ABILAS","2"
206.00,8/26/2014 0:00:00,"EF",46.76,-113.88,"Forest","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",,"290",2049.00,"0",9.00,9.00,3.00,9.00,"25.0",9.00,"PINCON",,
207.00,8/26/2014 0:00:00,"JM",46.75,-113.88,"Forest","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",,"93",2040.00,"0",1.00,1.00,4.00,5.00,"9.2",0.00,"ABILAS",,
208.00,8/26/2014 0:00:00,"EF",46.76,-113.88,"Forest","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",,"184",2054.00,"Plot moved farther away from 206. Plot in logged area.",1.00,2.00,24.00,20.00,"39.1",2.00,"ABILAS",,
209.00,8/26/2014 0:00:00,"EF JM",46.76,-113.87,"Forest","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",,"200",2083.00,"0",2.00,7.00,2.00,5.00,"13.3",4.00,"ABILAS",,
210.00,8/26/2014 0:00:00,"JM",46.75,-113.88,"Forest","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",,"70",1979.00,"0",18.00,11.00,24.00,14.00,"55.7",9.00,"ABILAS",,
216.00,8/3/2015 0:00:00,"MD",46.71,-113.74,"0","FMC","0","342",1848.68,"0",23.00,24.00,20.00,24.00,"22.75",23.00,"PSEMEN","0","2"
217.00,8/3/2015 0:00:00,"RD",46.71,-113.74,"0","MFLP","0","318",1894.61,"fair amount of dead lodgepole",20.00,20.00,5.00,15.00,"15",4.00,"PINCON","ABILAS","2"
218.00,8/3/2015 0:00:00,"MD",46.71,-113.74,"0","MFLP","0","9",1880.81,"0",24.00,23.00,19.00,24.00,"22.5",15.00,"PINCON","PSEMEN","1"
220.00,8/3/2015 0:00:00,"RD",46.71,-113.74,"0","MFLP","0","62",1929.20,"a fair amount of dead lodgepole, canopy seems denser than prism reading.",5.00,16.00,13.00,8.00,"10.5",5.00,"PINCON","PSEMEN","2"
221.00,8/28/2015 0:00:00,"EF",46.64,-113.76,"0","MFDSF","0","313",1847.88,"lack of understory plants due to extremely dense tree canopy.",23.00,22.00,24.00,24.00,"23.25",28.00,"ABILAS","PICENG","2"
222.00,8/28/2015 0:00:00,"JM",46.64,-113.76,"0","MFDSF","0","93",1805.79,"0",21.00,14.00,19.00,5.00,"14.75",11.00,"ABILAS","PICENG","2"
223.00,8/28/2015 0:00:00,"JM",46.64,-113.76,"0","MFDSF","0","80",1787.94,"0",16.00,15.00,14.00,17.00,"15.5",15.00,"PICENG","PSEMEN","3"
224.00,8/28/2015 0:00:00,"EF",46.64,-113.76,"0","MFDSF","0","320",1803.55,"0",14.00,17.00,13.00,18.00,"15.5",12.00,"PSEMEN","PICENG","3"
231.00,8/19/2015 0:00:00,"MD",46.32,-113.89,"0","SWP","0","171",2385.54,"moved plot out of burn",20.00,24.00,24.00,18.00,"21.5",28.00,"PINCON","ABILAS","2"
232.00,8/19/2015 0:00:00,"EF",46.32,-113.88,"0","SWP","0","220",2312.33,"plot moved. the approach was cliffed out.",9.00,4.00,4.00,3.00,"5",7.00,"ABILAS","PINALB","2"
233.00,8/19/2015 0:00:00,"LS",46.32,-113.88,"0","SWP","0","342",2412.80,"0",14.00,15.00,17.00,15.00,"15.25",13.00,"ABILAS","PICENG","3"
234.00,8/19/2015 0:00:00,"JM",46.32,-113.89,"0","SWP","0","278",2405.36,"0",5.00,8.00,2.00,3.00,"4.5",16.00,"ABILAS","PICENG","3"
235.00,8/19/2015 0:00:00,"MD",46.32,-113.89,"0","SWP","0","186",2407.47,"0",16.00,22.00,16.00,13.00,"16.75",7.00,"PINALB","ABILAS","2"
237.00,8/29/2014 0:00:00,"JM",46.29,-113.87,"Forest","Rocky Mountain Subalpine Woodland and Parkland",,"325",2462.00,"0",10.00,0.00,3.00,11.00,"20.0",7.00,"ABILAS",,
238.00,8/29/2014 0:00:00,"RAD JMM EF",46.30,-113.87,"Forest","Rocky Mountain Subalpine Woodland and Parkland",,"303",2529.00,"0",2.00,2.00,11.00,17.00,"26.6",11.00,"ABILAS",,
239.00,8/29/2014 0:00:00,"EF",46.29,-113.87,"Forest","Rocky Mountain Subalpine Woodland and Parkland",,"220",2477.00,"Plot moved 475' upslope - too steep.",14.00,3.00,17.00,13.00,"39.1",7.00,"ABILAS",,
240.00,8/29/2014 0:00:00,"RAD",46.29,-113.87,"Forest","Rocky Mountain Subalpine Woodland and Parkland",,"311",2444.00,"plot moved to avoid scree cliffs. elk sign. lots of dead whitebark pine s0gs and live ones.",12.00,14.00,18.00,21.00,"54.1",7.00,"ABILAS",,
244.00,7/24/2014 0:00:00,"EF",46.53,-113.84,"Forest","Rocky Mountain Lodgepole Pine Forest",,"170",1954.00,"Habitat changed from grassland.",18.00,19.00,24.00,8.00,"57.4",11.00,"PSEMEN",,
245.00,7/24/2014 0:00:00,"JM",46.53,-113.83,"Forest","Rocky Mountain Lodgepole Pine Forest",,"30",1964.00,"Labeled as grassland",11.00,8.00,24.00,20.00,"52.4",5.00,"PINCON",,
246.00,7/24/2014 0:00:00,"JM",46.53,-113.83,"Forest","Rocky Mountain Lodgepole Pine Forest",,"30",1970.00,"Labeled as a grassland",18.00,17.00,15.00,17.00,"55.7",8.00,"PINCON",,
265.00,7/24/2014 0:00:00,"JM",46.53,-113.83,"Forest","Rocky Mountain Lodgepole Pine Forest",,"28",1962.00,"Labeled as grassland",24.00,16.00,15.00,22.00,"64.1",0.00,"PINCON",,
266.00,7/24/2014 0:00:00,"EF",46.53,-113.83,"Forest","Rocky Mountain Lodgepole Pine Forest",,"285",1966.00,"Habitat changed from grassland.",8.00,16.00,19.00,24.00,"55.7",5.00,"PSEMEN",,
267.00,7/24/2014 0:00:00,"EF",46.53,-113.84,"Forest","Rocky Mountain Lodgepole Pine Forest",,"16",1961.00,"Habitat changed from grassland.",3.00,4.00,4.00,6.00,"14.1",3.00,"PINCON",,
268.00,7/29/2014 0:00:00,"RAD",46.53,-113.83,"Forest","Rocky Mountain Lodgepole Pine Forest",,"32",1954.00,"0",1.00,10.00,12.00,21.00,"36.6",9.00,"PINCON",,
269.00,7/29/2014 0:00:00,"RAD",46.53,-113.83,"Forest","Rocky Mountain Lodgepole Pine Forest",,"26",1959.00,"Lots of neat biocrust",11.00,8.00,2.00,15.00,"30.0",5.00,"ABILAS",,
270.00,8/6/2015 0:00:00,"LS",46.43,-113.88,"0","MFDSF",,"94",2003.49,"The original coordinates were in the middle of a tallus slope with zero vegetation. The plot was moved 40 meters to the bottom of the tallus slope.",3.00,8.00,6.00,2.00,"4.75",7.00,"POPTRE","ABILAS","1"
279.00,8/31/2015 0:00:00,"EF",46.71,-114.05,"0","WVB","0","360",964.26,"plot moved into WVB. densiometer readings due to tall (>2m) SALIX, not tree canopy",0.00,2.00,6.00,10.00,"4.5",0.00,"0","0","0"
280.00,8/31/2015 0:00:00,"EF",46.71,-114.04,"0","WVB","0","360",964.26,"plot moved 50' into wet meadow",5.00,10.00,16.00,18.00,"12.25",3.00,"POPBAL","PINPON","2"
281.00,8/21/2015 0:00:00,"EF",46.70,-114.04,"0","WVB","0","360",964.29,"plot runs along the river bank at the ""bankfull"" vegetation line. vegetation patchy with river rock dominating.",2.00,1.00,1.00,0.00,"1",1.00,"POPBAL","PINPON","3"
282.00,8/21/2015 0:00:00,"EF",46.71,-114.05,"0","WVB","0","360",964.26,"plot moved. it was on an island in the middle of the bitterroot. i moved it .1mile into a POPBAL grove representing WVB.",6.00,7.00,13.00,12.00,"9.5",3.00,"POPBAL","PINPON","3"
283.00,8/21/2015 0:00:00,"EF",46.71,-114.05,"0","WVB","0","360",964.26,"plot moved ca. 50' out of dry meadow.",4.00,3.00,5.00,4.00,"4",8.00,"POPBAL","PINPON","3"
284.00,7/16/2015 0:00:00,"EF",46.67,-114.04,"0","WVB","0","10",970.35,"Seasonally wet meadow. Dry at time of sampling.",0.00,0.00,0.00,0.00,"0",0.00,"0","0","0"
285.00,7/16/2015 0:00:00,"EF",46.67,-114.04,"0","WVB","0","10",970.35,"Seasonally wet meadow. Very dry at time of sampling.",2.00,1.00,0.00,0.00,"0.75",1.00,"PINPON","POPBAL","3"
286.00,8/17/2015 0:00:00,"MD",46.56,-114.09,"0","WVB","0","FLAT",992.05,"plot moved to riparian habitat",0.00,0.00,0.00,0.00,"0",0.00,"0","0","0"
287.00,8/17/2015 0:00:00,"MD",46.55,-114.09,"0","WVB","0","FLAT",991.87,"plot moved to riparian habitat",21.00,7.00,7.00,0.00,"8.75",13.00,"POPBAL","PINMON","3"
288.00,8/17/2015 0:00:00,"EF",46.56,-114.09,"0","WVB","0","330",992.08,"plot moved into WVB",0.00,0.00,0.00,0.00,"0",0.00,"0","0","0"
289.00,8/17/2015 0:00:00,"EF",46.56,-114.08,"0","WEM","0","330",991.70,"plot moved into WEM",0.00,0.00,0.00,0.00,"0",0.00,"0","0","0"
290.00,8/14/2014 0:00:00,"JM",46.58,-114.06,"Wetland","Northern Rocky Mountain Lower Montane Riparian Woodland and Shrubland",,"10",985.00,"labeled as grassland",0.00,0.00,0.00,0.00,"0.0",0.00,"0",,
291.00,8/14/2014 0:00:00,"EF",46.56,-114.09,"Grassland","Rocky Mountain Lower Montane, Foothill, and Valley Grassland",,"350",990.00,"This is the GAP plot for the group.",0.00,0.00,0.00,0.00,"0.0",0.00,"0",,
292.00,8/14/2014 0:00:00,"EF",46.58,-114.06,"Wetland","Northern Rocky Mountain Lower Montane Riparian Woodland and Shrubland",,"350",986.00,"Habitat changed from grassland. Plot moved 350ft to be on dry ground.",0.00,0.00,0.00,0.00,"0.0",0.00,"0",,
293.00,8/17/2015 0:00:00,"EF, MD",46.57,-114.06,"0","WEM","0","330",986.79,"plot moved to bank of pond.",0.00,0.00,0.00,0.00,"0",0.00,"0","0","0"
294.00,8/14/2014 0:00:00,"JM",46.56,-114.08,"Grassland","Rocky Mountain Lower Montane, Foothill, and Valley Grassland",,"90",989.00,"flat N-S transect",0.00,6.00,2.00,6.00,"11.6",1.00,"PINPON",,
