"Estimate","Std..Error","Coeff","class_name"
2.5984867266187,0.052941773403906,"(Intercept)",NA
-0.181852209913524,0.0247259558538436,"elev_std",NA
0.220917311571239,0.0741816876034268,"landcov9","Dry Forest Burn 6-15"
0.367005586717889,0.174965837991454,"landcov11","Mesic Forest Burn 6-15"
0.108835037767422,0.0924784306416107,"landcov4","Dry Ag"
0.536177597676944,0.089876279404965,"landcov10","Mesic Forest Burn 0-5"
0.108096106083121,0.0626374628040022,"landcov3","Grass/Shrub/Open Woodland"
0.242647716543539,0.0735302222377058,"landcov6","Montane Riparian"
0.26352060938063,0.0627326829173635,"landcov2","Dry Forest (Burn >15)"
0.285856223496273,0.0989312414378642,"landcov12","Rx Dry Forest Burn 0-5"
-0.159702147842784,0.116491441378352,"landcov5","Valley Bottom Riparian"
0.555335252787099,0.117186012108415,"landcov8","Dry Forest Burn 0-5"
0.388666375339006,0.0959072511982736,"landcov7","Irrigated Ag"
0.0881403488782063,0.0162789285982639,"radn_std",NA
-0.0300420478677611,0.0181264527455724,"ndvi_amp_std",NA
-0.0522706992448573,0.0174756852584311,"precip_std",NA
0.0606486484497016,0.0179533171629964,"slope_std",NA
