"PlotID","Date","Longitude","Latitude","DE","Area","Season"
"386","08/05/2015",-113.90322,46.59114,3.0286091825233,"Nsapph","Summer"
"387","08/05/2015",-113.90754,46.59042,2.97494940958123,"Nsapph","Summer"
"39","08/20/2015",-113.88892,46.75302,3.05795479253145,"Nsapph","Summer"
"40","08/19/2015",-113.89397,46.32041,2.42457434773066,"Nsapph","Summer"
"401","07/18/2014",-113.94418,46.49725,2.86599351659092,"Nsapph","Summer"
"402","07/18/2014",-113.93938,46.49677,2.99218045321757,"Nsapph","Summer"
"41","08/19/2015",-113.89884,46.3187,3.07085828230874,"Nsapph","Summer"
"42","08/19/2015",-113.89635,46.31865,2.62220510440564,"Nsapph","Summer"
"425","08/27/2014",-113.84092,46.7585,1.99145184765913,"Nsapph","Summer"
"426","08/27/2014",-113.83784,46.75075,1.92979492995563,"Nsapph","Summer"
"427","08/27/2014",-113.84135,46.74941,2.53955147358074,"Nsapph","Summer"
"428","08/27/2014",-113.84239,46.74943,2.50716665385489,"Nsapph","Summer"
"429","08/27/2014",-113.84281,46.74632,2.3228302225232,"Nsapph","Summer"
"43","08/19/2015",-113.90178,46.31702,2.1141134113793,"Nsapph","Summer"
"430","07/24/2015",-113.84422,46.5074,2.19283896213974,"Nsapph","Summer"
"431","07/24/2015",-113.8444,46.50759,2.15724296906575,"Nsapph","Summer"
"432","07/24/2015",-113.84262,46.50798,2.20126938357103,"Nsapph","Summer"
"444","07/24/2015",-113.70055,46.73114,3.11947758463774,"Nsapph","Summer"
"445","07/24/2015",-113.70097,46.73228,2.4621287896841,"Nsapph","Summer"
"446","07/24/2015",-113.70151,46.73322,2.57622387237222,"Nsapph","Summer"
"447","08/28/2014",-113.63516,46.61642,2.92076946100925,"Nsapph","Summer"
"448","08/28/2014",-113.63059,46.6153,2.82142671099254,"Nsapph","Summer"
"449","08/28/2014",-113.63422,46.61782,2.89822667202522,"Nsapph","Summer"
"450","08/28/2014",-113.63814,46.61702,2.73405200101417,"Nsapph","Summer"
"459","08/22/2014",-113.91412,46.82028,2.59462151602349,"Nsapph","Summer"
"460","08/07/2014",-113.91335,46.82284,2.83357147531465,"Nsapph","Summer"
"461","08/15/2014",-113.90859,46.819,2.9413598183817,"Nsapph","Summer"
"462","08/07/2014",-113.91258,46.82254,2.83569908199495,"Nsapph","Summer"
"464","08/12/2014",-113.73788,46.76073,2.69404665724058,"Nsapph","Summer"
"465","08/12/2014",-113.73825,46.76154,3.00919803832529,"Nsapph","Summer"
"466","08/12/2014",-113.7393,46.7605,2.73275233200944,"Nsapph","Summer"
"467","08/12/2014",-113.73573,46.76041,2.8034578984114,"Nsapph","Summer"
"468","08/12/2014",-113.73489,46.76163,2.80517731771702,"Nsapph","Summer"
"473","07/21/2014",-113.92081,46.57777,2.70250165501557,"Nsapph","Summer"
"475","07/30/2015",-113.65923,46.57814,2.91066960312592,"Nsapph","Summer"
"476","07/30/2015",-113.66869,46.58175,3.04183859045077,"Nsapph","Summer"
"477","07/30/2015",-113.66564,46.58088,3.06356960226129,"Nsapph","Summer"
"481","08/05/2014",-113.98021,46.73917,2.57170008313529,"Nsapph","Summer"
"482","08/05/2014",-113.98071,46.73969,3.00315757701784,"Nsapph","Summer"
