"landcov","class_name"
1,"Mesic Forest (Burn >15)"
2,"Dry Forest (Burn >15)"
3,"Grass/Shrub/Open Woodland"
4,"Dry Ag"
5,"Valley Bottom Riparian"
6,"Montane Riparian"
7,"Irrigated Ag"
8,"Dry Forest Burn 0-5"
9,"Dry Forest Burn 6-15"
10,"Mesic Forest Burn 0-5"
11,"Mesic Forest Burn 6-15"
12,"Rx Dry Forest Burn 0-5"
